comarca,serventia,data_futura,horizonte_meses,taxa_prevista,mes_no_horizonte
ABADIÂNIA,Vara Judicial,2025-11-30,6,90.83,1
ABADIÂNIA,Vara Judicial,2025-12-31,6,91.09,2
ABADIÂNIA,Vara Judicial,2026-01-31,6,91.34,3
ABADIÂNIA,Vara Judicial,2026-02-28,6,91.57,4
ABADIÂNIA,Vara Judicial,2026-03-31,6,91.83,5
ABADIÂNIA,Vara Judicial,2026-04-30,6,92.08,6
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-11-30,6,96.57,1
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-12-31,6,97.58,2
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-01-31,6,98.59,3
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-02-28,6,99.5,4
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-03-31,6,100.0,5
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-04-30,6,100.0,6
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-11-30,6,94.42,1
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-12-31,6,94.65,2
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-01-31,6,94.89,3
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-02-28,6,95.11,4
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-03-31,6,95.34,5
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-04-30,6,95.57,6
ALEXÂNIA,Vara Judicial,2025-11-30,6,97.18,1
ALEXÂNIA,Vara Judicial,2025-12-31,6,97.69,2
