comarca,serventia,n_observacoes,n_treino,n_teste,mae_cv,mae_teste,rmse_teste,melhores_params,top_features
ÁGUAS LINDAS DE GOIÁS,"2ª Vara de Fazendas Públicas, Registros Públicos e Ambiental",231,228,3,4.22528619063528,0.3513132731119792,0.5741666914641412,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.9}","[('diff_12', 0.3058088), ('diff_1', 0.28510365), ('tendencia_quad', 0.06204758), ('tendencia', 0.061766833), ('lag_1', 0.029483331)]"
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",602,599,3,4.038893339523161,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}","[('tendencia', 0.47387078), ('media_movel_6', 0.21667352), ('diff_1', 0.08563643), ('diff_12', 0.06484486), ('lag_1', 0.048579566)]"
PALMEIRAS DE GOIÁS,Vara Judicial,1068,1065,3,0.5461621248924126,0.0,0.0,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.20518655), ('diff_1', 0.19537616), ('media_movel_6', 0.16090585), ('media_movel_12', 0.15640084), ('lag_1', 0.10806176)]"
ALEXÂNIA,Vara Judicial,1068,1065,3,1.2473171134991836,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}","[('media_movel_12', 0.21116936), ('diff_12', 0.16296719), ('diff_1', 0.14961721), ('tendencia_quad', 0.12049063), ('media_movel_3', 0.08796832)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ADEGMAR JOSÉ FERREIRA,58,55,3,7.797328119013043,33.251773834228516,38.174322491778014,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}","[('diff_12', 0.7103504), ('diff_1', 0.06526806), ('tendencia', 0.060993172), ('trimestre_sin', 0.053179495), ('ano', 0.04435298)]"
GOIÂNIA,6ª Vara Criminal dos crimes punidos com reclusão e detenção,850,847,3,2.2124177057793797,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('tendencia', 0.6552901), ('media_movel_6', 0.16865592), ('media_movel_12', 0.05636519), ('diff_12', 0.03104586), ('media_movel_3', 0.03100644)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. JOSÉ PROTO DE OLIVEIRA,158,155,3,8.46294820168536,14.289558410644531,14.448118982939151,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}","[('tendencia', 0.67602015), ('diff_12', 0.0924883), ('tendencia_quad', 0.08926725), ('diff_1', 0.030133981), ('lag_12', 0.023300374)]"
GUAPÓ,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",1068,1065,3,0.6401376484154309,0.00260162353515625,0.00260162353515625,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.4595739), ('diff_1', 0.17984854), ('lag_12', 0.124631524), ('lag_1', 0.11753669), ('media_movel_12', 0.038041357)]"
GOIÂNIA,2ª Vara de Família,969,966,3,1.5304418342542943,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_1', 0.27742782), ('diff_12', 0.19502479), ('lag_1', 0.14091438), ('lag_12', 0.123327896), ('media_movel_12', 0.10321399)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALTAIR GUERRA DA COSTA,138,135,3,6.83777802928842,14.660835266113281,15.678676202929342,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0}","[('tendencia', 0.64744186), ('media_movel_12', 0.12360619), ('diff_12', 0.0974703), ('mes_sin', 0.032827232), ('diff_1', 0.020181874)]"
